"","year","Loaded.Imports","Loaded.Exports","Total.TEUs","Empty.Imports","Empty.Exports","Total.Imports","Total.Exports","month","port","norm.exports","month.num","Date","day","Balance"
"1","2020",364792,126177,725610,174340,60302,539132,186479,"Jan","Long Beach",0.0893901155909465,1,"2020-1-01",2020-01-01,-352653
"2","2020",376807,138602,753081,173758,63914,550565,202516,"Feb","Long Beach",0.089044535247167,2,"2020-2-01",2020-02-01,-348049
"3","2020",300714,117538,602180,132240,51688,432954,169226,"Mar","Long Beach",0.089798971208939,3,"2020-3-01",2020-03-01,-263728
"4","2020",312590,134556,628205,126575,54485,439165,189041,"April","Long Beach",0.0817484093975139,4,"2020-4-01",2020-04-01,-250124
"5","2020",253540,102502,519730,116563,47125,370103,149627,"May","Long Beach",0.0881091968988626,5,"2020-5-01",2020-05-01,-220476
"6","2020",234570,145442,517664,84968,52684,319538,198126,"June","Long Beach",0.08510767748106,6,"2020-6-01",2020-06-01,-121412
"7","2020",248592,125559,538428,109148,55129,357740,180688,"July","Long Beach",0.0784954113257874,7,"2020-7-01",2020-07-01,-177052
"8","2020",309961,108624,626829,154204,54040,464165,162664,"Aug","Long Beach",0.086811242556029,8,"2020-8-01",2020-08-01,-301501
"9","2019",323231,125395,665262,156084,60552,479315,185947,"Jan","Long Beach",0.0810231774084557,1,"2019-1-01",2019-01-01,-293368
"10","2019",293287,123705,599984,128706,54286,421993,177991,"Feb","Long Beach",0.0789561851174933,2,"2019-2-01",2019-02-01,-244002
"11","2019",337062,131635,688425,158017,61711,495079,193346,"Mar","Long Beach",0.0793033879042012,3,"2019-3-01",2019-03-01,-301733
"12","2019",354919,123215,706955,169854,58967,524773,182182,"April","Long Beach",0.0722116898635444,4,"2019-4-01",2019-04-01,-342591
"13","2019",322780,124975,663993,155883,60355,478663,185330,"May","Long Beach",0.0927124982239061,5,"2019-5-01",2019-05-01,-293333
"14","2019",313350,111654,621781,145081,51696,458431,163350,"June","Long Beach",0.081416937942684,6,"2019-6-01",2019-06-01,-295081
"15","2019",331617,133833,677168,150842,60876,482459,194709,"July","Long Beach",0.0843237785435157,7,"2019-7-01",2019-07-01,-287750
"16","2019",290568,120577,573624,114829,47650,405397,168227,"Aug","Long Beach",0.078820467269467,8,"2019-8-01",2019-08-01,-237170
"17","2019",317883,123804,628122,134178,52257,452061,176061,"Sep","Long Beach",0.0795745630015233,9,"2019-9-01",2019-09-01,-276000
"18","2019",247039,131436,552821,113799,60547,360838,191983,"Oct","Long Beach",0.076607394742127,10,"2019-10-01",2019-10-01,-168855
"19","2019",302865,105287,596617,139849,48616,442714,153903,"Nov","Long Beach",0.0841959791615567,11,"2019-11-01",2019-11-01,-288811
"20","2019",323838,117288,657286,158687,57473,482525,174761,"Dec","Long Beach",0.080204034491545,12,"2019-12-01",2019-12-01,-307764
"21","2018",373098,113329,741647,195758,59462,568856,172791,"Jan","Long Beach",0.0904295726182283,1,"2018-1-01",2018-01-01,-396065
"22","2018",319877,115774,621834,136705,49478,456582,165252,"Feb","Long Beach",0.0913844959505059,2,"2018-2-01",2018-02-01,-291330
"23","2018",364084,119837,705408,166639,54848,530723,174685,"Mar","Long Beach",0.0798309555504224,3,"2018-3-01",2018-03-01,-356038
"24","2018",357301,121561,701205,165900,56443,523201,178004,"April","Long Beach",0.0804993225045186,4,"2018-4-01",2018-04-01,-345197
"25","2018",343029,119546,679543,160896,56072,503925,175618,"May","Long Beach",0.0869579261769973,5,"2018-5-01",2018-05-01,-328307
"26","2018",347736,119747,688458,164372,56603,512108,176350,"June","Long Beach",0.09287070758062,6,"2018-6-01",2018-06-01,-335758
"27","2018",384095,135168,752189,172294,60632,556389,195800,"July","Long Beach",0.080156462217094,7,"2018-7-01",2018-07-01,-360589
"28","2018",361056,142412,687427,131924,52035,492980,194447,"Aug","Long Beach",0.0825265327708266,8,"2018-8-01",2018-08-01,-298533
"29","2018",312376,141799,618439,112979,51285,425355,193084,"Sep","Long Beach",0.0789537734828544,9,"2018-9-01",2018-09-01,-232271
"30","2018",267824,142419,575258,107729,57286,375553,199705,"Oct","Long Beach",0.0855509080637989,10,"2018-10-01",2018-10-01,-175848
"31","2018",342247,130916,661791,136438,52190,478685,183106,"Nov","Long Beach",0.0876633132609767,11,"2018-11-01",2018-11-01,-295579
"32","2018",324656,120503,657830,155102,57569,479758,178072,"Dec","Long Beach",0.0815033834541281,12,"2018-12-01",2018-12-01,-301686
"33","2017",345721,137449,696919,152943,60806,498664,198255,"Jan","Long Beach",0.080857342035361,1,"2017-1-01",2017-01-01,-300409
"34","2017",319210,126364,612659,119700,47385,438910,173749,"Feb","Long Beach",0.0946751162874554,2,"2017-2-01",2017-02-01,-265161
"35","2017",339013,126150,669218,148716,55339,487729,181489,"Mar","Long Beach",0.0768083150037861,3,"2017-3-01",2017-03-01,-306240
"36","2017",366298,125336,701619,156452,53533,522750,178869,"April","Long Beach",0.0714762196661018,4,"2017-4-01",2017-04-01,-343881
"37","2017",355715,117290,692375,164973,54397,520688,171687,"May","Long Beach",0.0893666204345816,5,"2017-5-01",2017-05-01,-349001
"38","2017",378820,126098,720312,161602,53792,540422,179890,"June","Long Beach",0.0863345661889351,6,"2017-6-01",2017-06-01,-360532
"39","2017",335328,118304,658727,151608,53487,486936,171791,"July","Long Beach",0.0801163507474187,7,"2017-7-01",2017-07-01,-315145
"40","2017",336594,118786,648288,142588,50320,479182,169106,"Aug","Long Beach",0.0777030359069194,8,"2017-8-01",2017-08-01,-310076
"41","2017",288207,116260,558014,109411,44136,397618,160396,"Sep","Long Beach",0.0814694097703806,9,"2017-9-01",2017-09-01,-237222
"42","2017",249534,120435,505382,91332,44081,340866,164516,"Oct","Long Beach",0.0843388811835414,10,"2017-10-01",2017-10-01,-176350
"43","2017",249759,119811,498312,87005,41737,336764,161548,"Nov","Long Beach",0.0850824472183696,11,"2017-11-01",2017-11-01,-175216
"44","2017",298990,118234,582689,118575,46890,417565,165124,"Dec","Long Beach",0.0869332716905532,12,"2017-12-01",2017-12-01,-252441
"45","2016",271599,122933,548929,106288,48109,377887,171042,"Jan","Long Beach",0.0873023578363384,1,"2016-1-01",2016-01-01,-206845
"46","2016",270610,120897,534308,98704,44097,369314,164994,"Feb","Long Beach",0.0887309292649098,2,"2016-2-01",2016-02-01,-204320
"47","2016",296711,126770,581808,110931,47396,407642,174166,"Mar","Long Beach",0.0785521652026506,3,"2016-3-01",2016-03-01,-233476
"48","2016",282945,120383,546804,100652,42824,383597,163207,"April","Long Beach",0.0740699645554014,4,"2016-4-01",2016-04-01,-220390
"49","2016",321625,159247,641029,107119,53038,428744,212285,"May","Long Beach",0.0882158850942984,5,"2016-5-01",2016-05-01,-216459
"50","2016",325608,142812,637091,117247,51424,442855,194236,"June","Long Beach",0.0914175708148256,6,"2016-6-01",2016-06-01,-248619
"51","2016",313526,128099,603339,114807,46907,428333,175006,"July","Long Beach",0.0878851731838151,7,"2016-7-01",2016-07-01,-253327
"52","2016",330639,138594,640566,120728,50605,451367,189199,"Aug","Long Beach",0.0834205623922911,8,"2016-8-01",2016-08-01,-262168
"53","2016",247316,112805,478842,81533,37188,328849,149993,"Sep","Long Beach",0.0826514296463506,9,"2016-9-01",2016-09-01,-178856
"54","2016",207635,127210,464855,80618,49392,288253,176602,"Oct","Long Beach",0.0744913408092429,10,"2016-10-01",2016-10-01,-111651
"55","2016",295870,123010,561412,100675,41857,396545,164867,"Nov","Long Beach",0.081935392849341,11,"2016-11-01",2016-11-01,-231678
"56","2016",278491,106739,536188,109131,41827,387622,148566,"Dec","Long Beach",0.0893491043471929,12,"2016-12-01",2016-12-01,-239056
"57","2015",296002,126118,596448,122244,52084,418246,178202,"Jan","Long Beach",0.0767547452608073,1,"2015-1-01",2015-01-01,-240044
"58","2015",306654,124717,619699,133879,54449,440533,179166,"Feb","Long Beach",0.0898330359960193,2,"2015-2-01",2015-02-01,-261367
"59","2015",307995,128308,619984,129664,54017,437659,182325,"Mar","Long Beach",0.0779008592441564,3,"2015-3-01",2015-03-01,-255334
"60","2015",332909,125639,655624,143079,53997,475988,179636,"April","Long Beach",0.0761449003616593,4,"2015-4-01",2015-04-01,-296352
"61","2015",358262,138765,703652,148937,57688,507199,196453,"May","Long Beach",0.0782324784778622,5,"2015-5-01",2015-05-01,-310746
"62","2015",345912,143875,690244,141573,58884,487485,202759,"June","Long Beach",0.0895322390755365,6,"2015-6-01",2015-06-01,-284726
"63","2015",297189,128223,583621,110523,47686,407712,175909,"July","Long Beach",0.0862855000386603,7,"2015-7-01",2015-07-01,-231803
"64","2015",327317,135855,635250,121605,50473,448922,186328,"Aug","Long Beach",0.0789130463325927,8,"2015-8-01",2015-08-01,-262594
"65","2015",317376,137546,614860,111581,48357,428957,185903,"Sep","Long Beach",0.0844502280960002,9,"2015-9-01",2015-09-01,-243054
"66","2015",317520,127337,630084,132207,53020,449727,180357,"Oct","Long Beach",0.0833392904295966,10,"2015-10-01",2015-10-01,-269370
"67","2015",204462,110711,413114,63537,34404,267999,145115,"Nov","Long Beach",0.0795673543344076,11,"2015-11-01",2015-11-01,-122884
"68","2015",213667,98462,429490,80339,37022,294006,135484,"Dec","Long Beach",0.0918657187832351,12,"2015-12-01",2015-12-01,-158522
"69","2014",276516,131496,567237,107909,51316,384425,182812,"Jan","Long Beach",0.083394727896863,1,"2014-1-01",2014-01-01,-201613
"70","2014",293984,129960,581514,109267,48303,403251,178263,"Feb","Long Beach",0.090611810806513,2,"2014-2-01",2014-02-01,-224988
"71","2014",310482,120445,583009,109575,42507,420057,162952,"Mar","Long Beach",0.0772382512688615,3,"2014-3-01",2014-03-01,-257105
"72","2014",339343,118412,629771,127519,44497,466862,162909,"April","Long Beach",0.0765693544598713,4,"2014-4-01",2014-04-01,-303953
"73","2014",300851,126856,573083,102258,43118,403109,169974,"May","Long Beach",0.0867050830728999,5,"2014-5-01",2014-05-01,-233135
"74","2014",297615,124126,583060,113840,47479,411455,171605,"June","Long Beach",0.0830443375470784,6,"2014-6-01",2014-06-01,-239850
"75","2014",316054,140034,610516,107014,47414,423068,187448,"July","Long Beach",0.0885656050187282,7,"2014-7-01",2014-07-01,-235620
"76","2014",312439,146702,599509,95518,44850,407957,191552,"Aug","Long Beach",0.0796208184868442,8,"2014-8-01",2014-08-01,-216405
"77","2014",295712,146498,569843,85350,42283,381062,188781,"Sep","Long Beach",0.0880070517352045,9,"2014-9-01",2014-09-01,-192281
"78","2014",223432,153883,477209,59154,40740,282586,194623,"Oct","Long Beach",0.0819304045782328,10,"2014-10-01",2014-10-01,-87963
"79","2014",271671,143572,517173,66687,35243,338358,178815,"Nov","Long Beach",0.0801642971789092,11,"2014-11-01",2014-11-01,-159543
"80","2014",279415,122411,528884,88351,38707,367766,161118,"Dec","Long Beach",0.0853221876564485,12,"2014-12-01",2014-12-01,-206648
"81","2013",291434,148150,582443,94712,48147,386146,196297,"Jan","Long Beach",0.0798088541803032,1,"2013-1-01",2013-01-01,-189849
"82","2013",296638,151950,569599,80021,40990,376659,192940,"Feb","Long Beach",0.0861243146019633,2,"2013-2-01",2013-02-01,-183719
"83","2013",298271,141457,576502,92775,43999,391046,185456,"Mar","Long Beach",0.0809695977226259,3,"2013-3-01",2013-03-01,-205590
"84","2013",307981,134676,587114,100507,43950,408488,178626,"April","Long Beach",0.0797374482207618,4,"2013-4-01",2013-04-01,-229862
"85","2013",327817,154118,630292,100914,47443,428731,201561,"May","Long Beach",0.0796541861897515,5,"2013-5-01",2013-05-01,-227170
"86","2013",294926,132290,562166,93162,41788,388088,174078,"June","Long Beach",0.0763978128426012,6,"2013-6-01",2013-06-01,-214010
"87","2013",290448,133800,565476,96687,44541,387135,178341,"July","Long Beach",0.0513565076854186,7,"2013-7-01",2013-07-01,-208794
"88","2013",305498,147073,583588,88440,42577,393938,189650,"Aug","Long Beach",0.0648418051082856,8,"2013-8-01",2013-08-01,-204288
"89","2013",264337,137864,519464,77068,40195,341405,178059,"Sep","Long Beach",0.0852310257919181,9,"2013-9-01",2013-09-01,-163346
"90","2013",224913,156212,486699,62302,43272,287215,199484,"Oct","Long Beach",0.0853777170043424,10,"2013-10-01",2013-10-01,-87731
"91","2013",279144,140626,530967,73945,37252,353089,177878,"Nov","Long Beach",0.0873567616070494,11,"2013-11-01",2013-11-01,-175211
"92","2013",273918,126714,536263,92733,42898,366651,169612,"Dec","Long Beach",0.0978507592771469,12,"2013-12-01",2013-12-01,-197039
"93","2012",295579,135561,560120,88426,40554,384005,176115,"Jan","Long Beach",0.0979760044058834,1,"2012-1-01",2012-01-01,-207890
"94","2012",278534,138312,555513,92656,46011,371190,184323,"Feb","Long Beach",0.0996968381609897,2,"2012-2-01",2012-02-01,-186867
"95","2012",276698,133503,530313,81021,39091,357719,172594,"Mar","Long Beach",0.0908533310915027,3,"2012-3-01",2012-03-01,-185125
"96","2012",265102,114902,512020,92098,39918,357200,154820,"April","Long Beach",0.0834072508351105,4,"2012-4-01",2012-04-01,-202380
"97","2012",274977,128225,543445,95643,44600,370620,172825,"May","Long Beach",0.0912065983560764,5,"2012-5-01",2012-05-01,-197795
"98","2012",261233,124574,522486,92546,44133,353779,168707,"June","Long Beach",0.0922452634511064,6,"2012-6-01",2012-06-01,-185072
"99","2012",280526,133649,555359,95626,45558,376152,179207,"July","Long Beach",0.0925576498471117,7,"2012-7-01",2012-07-01,-196945
"100","2012",249937,129083,497892,78388,40484,328325,169567,"Aug","Long Beach",0.0723721379661993,8,"2012-8-01",2012-08-01,-158758
"101","2012",232963,120452,461911,71518,36978,304481,157430,"Sep","Long Beach",0.0820631980498276,9,"2012-9-01",2012-09-01,-147051
"102","2012",226141,144838,461590,55235,35376,281376,180214,"Oct","Long Beach",0.0879261477642734,10,"2012-10-01",2012-10-01,-101162
"103","2012",191475,120006,388589,47400,29708,238875,149714,"Nov","Long Beach",0.0784176409397716,11,"2012-11-01",2012-11-01,-89161
"104","2012",229125,117083,456424,72942,37274,302067,154357,"Dec","Long Beach",0.0857024602199137,12,"2012-12-01",2012-12-01,-147710
"105","2011",248609,129229,509944,86923,45183,335532,174412,"Jan","Long Beach",0.086105336377986,1,"2011-1-01",2011-01-01,-161120
"106","2011",231749,111011,459881,79189,37932,310938,148943,"Feb","Long Beach",0.0884557095892394,2,"2011-2-01",2011-02-01,-161995
"107","2011",240248,118325,487665,86493,42599,326741,160924,"Mar","Long Beach",0.0758099620572493,3,"2011-3-01",2011-03-01,-165817
"108","2011",263214,118214,527175,100576,45171,363790,163385,"April","Long Beach",0.0671378953812452,4,"2011-4-01",2011-04-01,-200405
"109","2011",267198,121277,535929,101421,46033,368619,167310,"May","Long Beach",0.0975676010232993,5,"2011-5-01",2011-05-01,-201309
"110","2011",290314,126968,572926,108286,47358,398600,174326,"June","Long Beach",0.100823178279647,6,"2011-6-01",2011-06-01,-224274
"111","2011",271113,126588,554269,106732,49836,377845,176424,"July","Long Beach",0.0879081506340605,7,"2011-7-01",2011-07-01,-201421
"112","2011",275100,130161,536681,89211,42209,364311,172370,"Aug","Long Beach",0.0780733364509119,8,"2011-8-01",2011-08-01,-191941
"113","2011",270107,143683,531090,76569,40731,346676,184414,"Sep","Long Beach",0.08022859186312,9,"2011-9-01",2011-09-01,-162262
"114","2011",191211,131761,412235,52847,36416,244058,168177,"Oct","Long Beach",0.082438863367535,10,"2011-10-01",2011-10-01,-75881
"115","2011",233660,121929,458336,67516,35231,301176,157160,"Nov","Long Beach",0.081456138420488,11,"2011-11-01",2011-11-01,-144016
"116","2011",242445,127546,474960,68783,36186,311228,163732,"Dec","Long Beach",0.08307017302561,12,"2011-12-01",2011-12-01,-147496
"117","2010",256889,141140,523311,80857,44425,337746,185565,"Jan","Long Beach",0.0789006409374742,1,"2010-1-01",2010-01-01,-152181
"118","2010",274480,142628,558307,92917,48282,367397,190910,"Feb","Long Beach",0.0885195169587104,2,"2010-2-01",2010-02-01,-176487
"119","2010",303168,150581,613621,106817,53055,409985,203636,"Mar","Long Beach",0.0721295353891013,3,"2010-3-01",2010-03-01,-206349
"120","2010",288905,124021,574790,113249,48615,402154,172636,"April","Long Beach",0.0688842736500426,4,"2010-4-01",2010-04-01,-229518
"121","2010",311240,126039,611002,123650,50073,434890,176112,"May","Long Beach",0.0855605402168495,5,"2010-5-01",2010-05-01,-258778
"122","2010",293878,126177,587881,117414,50412,411292,176589,"June","Long Beach",0.088500598270869,6,"2010-6-01",2010-06-01,-234703
"123","2010",262053,116112,520100,98355,43580,360408,159692,"July","Long Beach",0.0860679274402816,7,"2010-7-01",2010-07-01,-200716
"124","2010",264505,138659,524715,79746,41805,344251,180464,"Aug","Long Beach",0.0804175295037307,8,"2010-8-01",2010-08-01,-163787
"125","2010",241245,130155,485059,73828,39831,315073,169986,"Sep","Long Beach",0.0911523934737737,9,"2010-9-01",2010-09-01,-145087
"126","2010",206652,130495,422774,52484,33143,259136,163638,"Oct","Long Beach",0.0862095498081407,10,"2010-10-01",2010-10-01,-95498
"127","2010",207920,123208,413134,51493,30513,259413,153721,"Nov","Long Beach",0.0823835156024359,11,"2010-11-01",2010-11-01,-105692
"128","2010",217925,113183,428805,64301,33396,282226,146579,"Dec","Long Beach",0.0847492782277355,12,"2010-12-01",2010-12-01,-135647
"129","2009",232586,123084,467237,72958,38609,305544,161693,"Jan","Long Beach",0.0853559126223444,1,"2009-1-01",2009-01-01,-143851
"130","2009",228347,114283,448151,70325,35196,298672,149479,"Feb","Long Beach",0.0863221786203751,2,"2009-2-01",2009-02-01,-149193
"131","2009",227064,119194,452418,69616,36544,296680,155738,"Mar","Long Beach",0.0739558695780657,3,"2009-3-01",2009-03-01,-140942
"132","2009",224924,109337,440364,71397,34706,296321,144043,"April","Long Beach",0.0693247066353982,4,"2009-4-01",2009-04-01,-152278
"133","2009",249920,130623,493339,74078,38718,323998,169341,"May","Long Beach",0.0869123941020725,5,"2009-5-01",2009-05-01,-154657
"134","2009",221719,108420,433013,69089,33785,290808,142205,"June","Long Beach",0.0853867922969369,6,"2009-6-01",2009-06-01,-148603
"135","2009",206358,114107,413347,59810,33072,266168,147179,"July","Long Beach",0.0852108843319842,7,"2009-7-01",2009-07-01,-118989
"136","2009",208590,121065,419555,56884,33016,265474,154081,"Aug","Long Beach",0.0776559037644838,8,"2009-8-01",2009-08-01,-111393
"137","2009",199051,112976,408705,61674,35004,260725,147980,"Sep","Long Beach",0.083594663272176,9,"2009-9-01",2009-09-01,-112745
"138","2009",186450,117674,374131,42919,27088,229369,144762,"Oct","Long Beach",0.0771980100011674,10,"2009-10-01",2009-10-01,-84607
"139","2009",149299,92781,318042,46848,29114,196147,121895,"Nov","Long Beach",0.0794437683537307,11,"2009-11-01",2009-11-01,-74252
"140","2009",200588,88510,399295,76459,33738,277047,122248,"Dec","Long Beach",0.0891517558013647,12,"2009-12-01",2009-12-01,-154799
"141","2008",205031,94009,429946,89753,41153,294784,135162,"Jan","Long Beach",0.0852711194836195,1,"2008-1-01",2008-01-01,-159622
"142","2008",267840,109850,557459,127484,52285,395324,162135,"Feb","Long Beach",0.0885344787607124,2,"2008-2-01",2008-02-01,-233189
"143","2008",292456,132521,595189,117135,53077,409591,185598,"Mar","Long Beach",0.0833675820810552,3,"2008-3-01",2008-03-01,-223993
"144","2008",279137,129630,554837,99748,46322,378885,175952,"April","Long Beach",0.0782726477506968,4,"2008-4-01",2008-04-01,-202933
"145","2008",283174,153467,572256,87950,47665,371124,201132,"May","Long Beach",0.0890971885508989,5,"2008-5-01",2008-05-01,-169992
"146","2008",272350,153364,563703,88278,49711,360628,203075,"June","Long Beach",0.088909572064685,6,"2008-6-01",2008-06-01,-157553
"147","2008",288339,160180,579675,84316,46840,372655,207020,"July","Long Beach",0.0915137255909346,7,"2008-7-01",2008-07-01,-165635
"148","2008",267381,158798,529011,64516,38316,331897,197114,"Aug","Long Beach",0.086758633913446,8,"2008-8-01",2008-08-01,-134783
"149","2008",280553,163577,556585,71037,41418,351590,204995,"Sep","Long Beach",0.0911784012598287,9,"2008-9-01",2008-09-01,-146595
"150","2008",228328,162679,498114,62545,44562,290873,207241,"Oct","Long Beach",0.0858196340423463,10,"2008-10-01",2008-10-01,-83632
"151","2008",263231,147275,529699,76431,42762,339662,190037,"Nov","Long Beach",0.0891421431123878,11,"2008-11-01",2008-11-01,-149625
"152","2008",261543,121701,521342,94244,43854,355787,165555,"Dec","Long Beach",0.0796342533574865,12,"2008-12-01",2008-12-01,-190232
"153","2007",280482,142940,575355,100643,51290,381125,194230,"Jan","Long Beach",0.0758874282733916,1,"2007-1-01",2007-01-01,-186895
"154","2007",310068,143848,611606,107717,49973,417785,193821,"Feb","Long Beach",0.0823150131262732,2,"2007-2-01",2007-02-01,-223964
"155","2007",323131,144839,644573,121944,54659,445075,199498,"Mar","Long Beach",0.0683575392240017,3,"2007-3-01",2007-03-01,-245577
"156","2007",331507,134842,654109,133470,54290,464977,189132,"April","Long Beach",0.0713864674843198,4,"2007-4-01",2007-04-01,-275845
"157","2007",326646,141410,657904,132491,57357,459137,198767,"May","Long Beach",0.0604747348564842,5,"2007-5-01",2007-05-01,-260370
"158","2007",332402,135089,647428,127941,51996,460343,187085,"June","Long Beach",0.0725431048368334,6,"2007-6-01",2007-06-01,-273258
"159","2007",339411,140967,662219,128480,53361,467891,194328,"July","Long Beach",0.0830410162611811,7,"2007-7-01",2007-07-01,-273563
"160","2007",316666,127061,606256,115989,46540,432655,173601,"Aug","Long Beach",0.0787251634887625,8,"2007-8-01",2007-08-01,-259054
"161","2007",303138,121191,579235,110664,44242,413802,165433,"Sep","Long Beach",0.0899913020756898,9,"2007-9-01",2007-09-01,-248369
"162","2007",252998,125529,541107,108664,53916,361662,179445,"Oct","Long Beach",0.090860647082616,10,"2007-10-01",2007-10-01,-182217
"163","2007",284800,108215,541204,107386,40803,392186,149018,"Nov","Long Beach",0.0926257351177799,11,"2007-11-01",2007-11-01,-243168
"164","2007",303344,108310,591469,132504,47311,435848,155621,"Dec","Long Beach",0.0881935520819538,12,"2007-12-01",2007-12-01,-280227
"165","2006",282726,111838,575227,129455,51208,412181,163046,"Jan","Long Beach",0.0917197013354714,1,"2006-1-01",2006-01-01,-249135
"166","2006",332806,107738,654997,162007,52446,494813,160184,"Feb","Long Beach",0.0927246158416763,2,"2006-2-01",2006-02-01,-334629
"167","2006",335688,109318,650726,155184,50536,490872,159854,"Mar","Long Beach",0.0850271317968194,3,"2006-3-01",2006-03-01,-331018
"168","2006",317661,98660,614739,151397,47021,469058,145681,"April","Long Beach",0.0740732952247322,4,"2006-4-01",2006-04-01,-323377
"169","2006",347829,105256,675058,170407,51566,518236,156822,"May","Long Beach",0.0918374185809283,5,"2006-5-01",2006-05-01,-361414
"170","2006",305117,100861,582925,132986,43961,438103,144822,"June","Long Beach",0.0849001842507628,6,"2006-6-01",2006-06-01,-293281
"171","2006",319737,101828,617002,148230,47207,467967,149035,"July","Long Beach",0.0884551334625285,7,"2006-7-01",2006-07-01,-318932
"172","2006",328314,115158,644066,148505,52089,476819,167247,"Aug","Long Beach",0.0818126776338658,8,"2006-8-01",2006-08-01,-309572
"173","2006",321044,111755,619512,138501,48212,459545,159967,"Sep","Long Beach",0.0961812836666583,9,"2006-9-01",2006-09-01,-299578
"174","2006",282440,118728,561194,112665,47361,395105,166089,"Oct","Long Beach",0.0807687414377921,10,"2006-10-01",2006-10-01,-229016
"175","2006",252463,109963,515464,106605,46433,359068,156396,"Nov","Long Beach",0.0835938440706923,11,"2006-11-01",2006-11-01,-202672
"176","2006",293855,99740,579455,138762,47098,432617,146838,"Dec","Long Beach",0.0875140005588864,12,"2006-12-01",2006-12-01,-285779
"177","2005",266358,104184,545772,125961,49269,392319,153453,"Jan","Long Beach",0.0840487912377516,1,"2005-1-01",2005-01-01,-238866
"178","2005",305065,107147,610644,146853,51579,451918,158726,"Feb","Long Beach",0.0822210509336356,2,"2005-2-01",2005-02-01,-293192
"179","2005",299203,103422,600940,147374,50941,446577,154363,"Mar","Long Beach",0.0692331896737785,3,"2005-3-01",2005-03-01,-292214
"180","2005",313460,97009,610269,152580,47220,466040,144229,"April","Long Beach",0.0694336844927197,4,"2005-4-01",2005-04-01,-321811
"181","2005",306124,110750,615361,145755,52732,451879,163482,"May","Long Beach",0.0892341916050181,5,"2005-5-01",2005-05-01,-288397
"182","2005",289518,106917,573300,129165,47700,418683,154617,"June","Long Beach",0.0918044864026837,6,"2005-6-01",2005-06-01,-264066
"183","2005",294252,101381,576604,134597,46374,428849,147755,"July","Long Beach",0.0979241443250584,7,"2005-7-01",2005-07-01,-281094
"184","2005",288031,106034,564886,124857,45964,412888,151998,"Aug","Long Beach",0.0830169153769509,8,"2005-8-01",2005-08-01,-260890
"185","2005",270920,107609,538501,114495,45477,385415,153086,"Sep","Long Beach",0.0846884485325516,9,"2005-9-01",2005-09-01,-232329
"186","2005",210093,104519,466019,101107,50300,311200,154819,"Oct","Long Beach",0.0849178275070112,10,"2005-10-01",2005-10-01,-156381
"187","2005",250245,90867,497925,115040,41773,365285,132640,"Nov","Long Beach",0.0767924259735863,11,"2005-11-01",2005-11-01,-232645
"188","2005",252785,81580,509597,132478,42754,385263,124334,"Dec","Long Beach",0.0867812311255246,12,"2005-12-01",2005-12-01,-260929
"189","2004",269495,93377,551339,139969,48498,409464,141875,"Jan","Long Beach",0.0817425877410643,1,"2004-1-01",2004-01-01,-267589
"190","2004",295717,99436,582614,140288,47173,436005,146609,"Feb","Long Beach",0.0786899719551744,2,"2004-2-01",2004-02-01,-289396
"191","2004",288590,85824,557665,141246,42005,429836,127829,"Mar","Long Beach",0.0739211013268396,3,"2004-3-01",2004-03-01,-302007
"192","2004",255592,76190,494376,125256,37338,380848,113528,"April","Long Beach",0.0704866681285369,4,"2004-4-01",2004-04-01,-267320
"193","2004",274914,79339,520904,129328,37323,404242,116662,"May","Long Beach",0.0867041132405073,5,"2004-5-01",2004-05-01,-287580
"194","2004",281817,82441,529663,127970,37435,409787,119876,"June","Long Beach",0.0740429026579644,6,"2004-6-01",2004-06-01,-289911
"195","2004",260752,82218,494098,114899,36229,375651,118447,"July","Long Beach",0.079998926215601,7,"2004-7-01",2004-07-01,-257204
"196","2004",242910,84502,468029,104325,36292,347235,120794,"Aug","Long Beach",0.0812223444590985,8,"2004-8-01",2004-08-01,-226441
"197","2004",227046,79825,441061,99284,34906,326330,114731,"Sep","Long Beach",0.083173549906367,9,"2004-9-01",2004-09-01,-211599
"198","2004",235500,94823,448398,84180,33895,319680,128718,"Oct","Long Beach",0.0866613607135099,10,"2004-10-01",2004-10-01,-190962
"199","2004",153995,76963,314749,55869,27922,209864,104885,"Nov","Long Beach",0.0877043235232855,11,"2004-11-01",2004-11-01,-104979
"200","2004",201652,72975,376956,75138,27191,276790,100166,"Dec","Long Beach",0.0856889892855208,12,"2004-12-01",2004-12-01,-176624
"201","2003",210094,83941,406021,80016,31970,290110,115911,"Jan","Long Beach",0.0916763315547951,1,"2003-1-01",2003-01-01,-174199
"202","2003",216379,82449,424893,91283,34782,307662,117231,"Feb","Long Beach",0.0836045550331904,2,"2003-2-01",2003-02-01,-190431
"203","2003",230527,84952,436824,88669,32676,319196,117628,"Mar","Long Beach",0.078127757475851,3,"2003-3-01",2003-03-01,-201568
"204","2003",206315,65926,379811,81521,26049,287836,91975,"April","Long Beach",0.0813948459343092,4,"2003-4-01",2003-04-01,-195861
"205","2003",206910,75338,390717,79516,28953,286426,104291,"May","Long Beach",0.0871911253826354,5,"2003-5-01",2003-05-01,-182135
"206","2003",231118,80972,430686,87826,30770,318944,111742,"June","Long Beach",0.0912547472044034,6,"2003-6-01",2003-06-01,-207202
"207","2003",204344,70992,386516,82514,28666,286858,99658,"July","Long Beach",0.0854479464798034,7,"2003-7-01",2003-07-01,-187200
